date;DAX;DJ;NIKKEI
01.01.1985;820,91;1211,57;11542,6
02.01.1985;830,71;1198,87;11542,6
03.01.1985;824,03;1189,82;11542,6
04.01.1985;824,57;1184,96;11558,06
07.01.1985;832,27;1190,59;11575,52
08.01.1985;841,51;1191,7;11679,79
09.01.1985;845,65;1202,74;11763,57
10.01.1985;842,11;1223,5;11824,38
11.01.1985;839,15;1218,09;11812,24
14.01.1985;833,21;1234,54;11823,91
15.01.1985;839,14;1230,79;11823,91
16.01.1985;838,56;1230,68;11933,02
17.01.1985;844,63;1228,69;11887,19
18.01.1985;850,13;1227,36;11910,06
21.01.1985;847,63;1261,37;11964,52
22.01.1985;848,31;1259,5;11868,12
23.01.1985;837,69;1274,73;11859,01
24.01.1985;832,33;1270,43;11856,36
25.01.1985;832,25;1276,06;11785,1
28.01.1985;832,51;1277,83;11798,86
29.01.1985;829,57;1292,62;11843,07
30.01.1985;834,18;1287,88;11960,63
31.01.1985;838,15;1286,77;11992,31
01.02.1985;834,85;1277,72;11946,96
04.02.1985;820,34;1290,08;11891,08
05.02.1985;828,89;1285,23;11823,43
06.02.1985;838,08;1280,59;11867,17
07.02.1985;846,08;1290,08;11940,8
08.02.1985;845,46;1289,97;12009,01
11.02.1985;842,83;1276,06;12009,01
12.02.1985;832,16;1276,61;12027,89
13.02.1985;840,91;1297,92;12025,71
14.02.1985;849,39;1287,88;12081,69
15.02.1985;852,9;1282,02;12148,29
18.02.1985;853,75;1282,02;12149,15
19.02.1985;863,81;1280,59;12156,64
20.02.1985;865,7;1283,13;12152,37
21.02.1985;854,94;1279,04;12128,46
22.02.1985;856,39;1275,84;12147,06
25.02.1985;850,43;1277,5;12201,04
26.02.1985;849,67;1286,11;12194,97
27.02.1985;852,21;1281,03;12287,38
28.02.1985;855,38;1284,01;12321,92
01.03.1985;870,17;1299,36;12412,14
04.03.1985;877,33;1289,53;12509,01
05.03.1985;873,44;1291,85;12476,38
06.03.1985;876,23;1280,37;12498,67
07.03.1985;877,98;1271,53;12414,8
08.03.1985;878,18;1269,66;12347,53
11.03.1985;878,54;1268,55;12263,85
12.03.1985;881,03;1271,75;12296,87
13.03.1985;879,57;1261,7;12419,26
14.03.1985;872,63;1260,05;12405,03
15.03.1985;889,09;1247,35;12468,03
18.03.1985;887,86;1249,67;12506,64
19.03.1985;890,43;1271,09;12477,99
20.03.1985;890,15;1265,24;12541,37
21.03.1985;893,69;1268,22;12541,37
22.03.1985;889,76;1267,45;12542,6
25.03.1985;876,38;1259,94;12493,26
26.03.1985;875,38;1259,72;12486,15
27.03.1985;862,1;1264,91;12550,82
28.03.1985;862,6;1260,71;12604,02
29.03.1985;858,93;1266,78;12580,76
01.04.1985;864,95;1272,75;12677,15
02.04.1985;869,89;1265,68;12629,86
03.04.1985;868,95;1258,06;12683,26
04.04.1985;869,85;1259,05;12627,1
05.04.1985;869,85;1259,05;12544,24
08.04.1985;869,85;1252,98;12635,96
09.04.1985;870,35;1253,86;12630,43
10.04.1985;876,24;1259,94;12601,93
11.04.1985;875,77;1263,69;12573,8
12.04.1985;876,96;1265,68;12588,01
15.04.1985;881,3;1266,78;12552,73
16.04.1985;880,34;1269,55;12207,28
17.04.1985;884,56;1272,31;12302,06
18.04.1985;884,5;1265,13;12052,82
19.04.1985;886,38;1266,56;12114,8
22.04.1985;889,67;1266,56;12179,92
23.04.1985;889,08;1278,71;12124,14
24.04.1985;887,21;1278,49;12217,77
25.04.1985;884,29;1284,78;12333,87
26.04.1985;883,41;1275,18;12405,1
29.04.1985;880,34;1259,72;12405,1
30.04.1985;873,15;1258,06;12426,29
01.05.1985;873,15;1242,05;12456,65
02.05.1985;865,18;1242,27;12451,79
03.05.1985;873,5;1247,24;12451,79
06.05.1985;881,75;1247,79;12451,79
07.05.1985;884,65;1252,76;12506,3
08.05.1985;886,65;1249,78;12521,2
09.05.1985;888,7;1260,27;12474,51
10.05.1985;889,44;1274,18;12527,31
13.05.1985;895,13;1277,5;12541,53
14.05.1985;902,16;1273,3;12504,2
15.05.1985;900,7;1273,52;12358,03
16.05.1985;900,7;1278,05;12369,3
17.05.1985;902,25;1285,34;12419,99
20.05.1985;911,32;1304,88;12559,1
21.05.1985;919,06;1309,7;12650,37
22.05.1985;925,14;1303,76;12673,57
23.05.1985;927,59;1296,71;12649,13
24.05.1985;931,3;1301,97;12593,85
27.05.1985;931,3;1301,97;12642,73
28.05.1985;930,4;1301,52;12694,93
29.05.1985;935,3;1302,98;12767,17
30.05.1985;941,16;1305,78;12790,27
